Frame,integer_motion2,integer_motion,psnr,ssim,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
159,8.890134,8.890134,46.303095,0.997124,0.981692,0.978081,0.967163,0.977988,0.988661,0.797769,0.952405,0.975295,0.985444,100.000000,
160,12.011338,12.011338,46.969404,0.997496,0.987191,0.982392,0.969049,0.984391,0.995011,0.808033,0.960665,0.980465,0.988811,100.000000,
161,12.930285,14.192577,46.442643,0.997566,0.983937,0.978296,0.960274,0.978792,0.994268,0.796245,0.958995,0.980156,0.988706,100.000000,
162,8.700209,12.930285,46.546398,0.997836,0.985199,0.977657,0.964973,0.984281,0.992702,0.801593,0.963637,0.982231,0.989767,100.000000,
163,8.700209,8.700209,46.774912,0.997779,0.986910,0.980855,0.968494,0.984585,0.994112,0.804528,0.964310,0.982815,0.990442,100.000000,
164,5.876747,9.049299,46.933301,0.997870,0.984831,0.981000,0.967347,0.982629,0.991126,0.810000,0.964242,0.982599,0.990295,99.979015,
165,5.876747,5.876747,46.314809,0.997732,0.987345,0.978726,0.969202,0.985926,0.994768,0.796995,0.959797,0.979904,0.988621,100.000000,
166,9.105796,9.105796,46.614982,0.997932,0.987357,0.980927,0.963592,0.986735,0.995250,0.800328,0.965362,0.983624,0.991063,100.000000,
167,6.541111,10.731541,46.640226,0.997975,0.985765,0.978943,0.968467,0.983529,0.992779,0.801636,0.965571,0.983479,0.990772,100.000000,
168,6.541111,6.541111,46.835918,0.997990,0.988286,0.978695,0.975547,0.986260,0.994756,0.807992,0.967356,0.984423,0.991503,100.000000,
169,7.827611,7.827611,46.825881,0.997916,0.988709,0.981212,0.965272,0.986689,0.997123,0.807255,0.967749,0.984602,0.991393,100.000000,
170,8.196656,9.209763,46.640605,0.998025,0.986329,0.976039,0.966272,0.985031,0.993982,0.802510,0.967132,0.984175,0.991234,100.000000,
171,7.174245,8.196656,46.838962,0.998000,0.986272,0.979223,0.963810,0.984814,0.993983,0.807684,0.966593,0.983822,0.990972,100.000000,
172,7.174245,7.174245,46.773745,0.997958,0.988690,0.978352,0.970155,0.987830,0.995665,0.805847,0.966988,0.984203,0.991269,100.000000,
173,7.318531,8.981410,46.680708,0.998042,0.986423,0.977802,0.969298,0.984571,0.993597,0.806614,0.967908,0.984761,0.991566,100.000000,
174,7.318531,7.318531,47.034649,0.997990,0.989135,0.978800,0.969385,0.988318,0.996986,0.815743,0.968004,0.984747,0.991661,100.000000,
175,9.141627,9.692336,46.871878,0.997849,0.988259,0.977011,0.965107,0.987385,0.997003,0.812797,0.966224,0.983919,0.991173,100.000000,
176,9.141627,9.141627,47.291598,0.997959,0.986747,0.980446,0.975449,0.984873,0.992366,0.823572,0.966614,0.983550,0.990676,100.000000,
177,11.727240,11.727240,47.462654,0.997947,0.987217,0.980763,0.972173,0.985073,0.993880,0.818139,0.968191,0.984611,0.991415,100.000000,
178,7.843763,13.229066,46.404967,0.997843,0.984933,0.976286,0.961166,0.985119,0.992848,0.791857,0.963026,0.981974,0.989818,100.000000,
179,7.792847,7.843763,46.012036,0.997756,0.983527,0.976275,0.962161,0.981287,0.991596,0.790132,0.958820,0.979461,0.988257,100.000000,
180,7.792847,7.792847,46.215154,0.997623,0.984688,0.978039,0.961466,0.981952,0.993418,0.789613,0.959892,0.980555,0.989182,100.000000,
181,10.354532,10.354532,46.506826,0.997560,0.985188,0.976565,0.965083,0.981278,0.993885,0.795630,0.960859,0.981186,0.989481,100.000000,
182,6.313164,11.155352,46.605963,0.997682,0.985186,0.977546,0.965337,0.982405,0.993143,0.800816,0.961345,0.981342,0.989453,100.000000,
183,5.026537,6.313164,46.392045,0.997856,0.984779,0.978169,0.964468,0.983349,0.992100,0.798177,0.961703,0.981314,0.989727,98.787199,
184,5.026537,5.026537,46.382284,0.997727,0.986243,0.975333,0.958863,0.982687,0.996227,0.795188,0.961913,0.981884,0.990334,99.179148,
