Frame,psnr,integer_motion2,integer_motion,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,ssim,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
140,47.099204,7.944544,9.276099,0.987996,0.984416,0.972851,0.984554,0.994808,0.996350,0.827219,0.958638,0.977946,0.986147,100.000000,
141,47.018876,5.430312,7.944544,0.987835,0.982440,0.971572,0.983559,0.995696,0.996528,0.824114,0.956418,0.975724,0.984725,99.317381,
142,46.562901,5.430312,5.430312,0.985681,0.981583,0.969989,0.983027,0.992168,0.996398,0.813375,0.951032,0.972304,0.982430,98.482145,
143,47.609038,6.494300,6.494300,0.988657,0.980854,0.972982,0.987680,0.995169,0.997282,0.829710,0.967546,0.983551,0.990127,100.000000,
144,46.813871,7.613257,8.203200,0.986631,0.983889,0.972694,0.983959,0.992536,0.996452,0.818920,0.954497,0.974782,0.984275,100.000000,
145,46.442026,7.613257,7.613257,0.986052,0.978798,0.964765,0.981642,0.995552,0.996096,0.807493,0.950284,0.972552,0.982588,100.000000,
146,47.683538,12.801713,12.801713,0.988714,0.983458,0.975719,0.984840,0.995451,0.997151,0.827328,0.964064,0.981783,0.989228,100.000000,
147,46.363175,9.709337,16.007671,0.986849,0.986063,0.973469,0.980501,0.993833,0.996352,0.797519,0.949005,0.972155,0.982912,100.000000,
148,45.004229,9.709337,9.709337,0.984854,0.978296,0.966020,0.984128,0.991223,0.995445,0.768884,0.932999,0.961191,0.975135,100.000000,
149,47.087705,12.594042,12.594042,0.990068,0.984205,0.978426,0.985774,0.996751,0.996758,0.811447,0.956430,0.976870,0.985942,100.000000,
150,46.747304,13.322880,16.617998,0.987155,0.985483,0.974703,0.982356,0.993450,0.995883,0.812677,0.947924,0.969997,0.980528,100.000000,
151,47.155892,10.013959,13.322880,0.985582,0.985386,0.968202,0.980130,0.993196,0.996167,0.826204,0.950978,0.971708,0.981374,100.000000,
152,49.238197,10.013959,10.013959,0.990387,0.990221,0.981073,0.988191,0.994275,0.997529,0.866301,0.968893,0.983381,0.989851,100.000000,
153,47.177455,2.877832,10.316308,0.986448,0.983730,0.974995,0.982511,0.993027,0.996606,0.828840,0.957217,0.977097,0.985997,95.931443,
154,47.788133,2.877832,2.877832,0.986831,0.988048,0.976841,0.983429,0.991486,0.996599,0.843445,0.958233,0.975902,0.984723,95.871201,
155,48.709062,7.263321,7.263321,0.990368,0.988696,0.980116,0.988635,0.994688,0.997253,0.852656,0.969483,0.983837,0.989452,100.000000,
156,47.808122,8.703089,8.949799,0.988899,0.986628,0.977945,0.983819,0.995225,0.996680,0.838819,0.959983,0.977374,0.985587,100.000000,
157,48.361801,8.703089,8.703089,0.989579,0.985619,0.982600,0.987245,0.993986,0.997349,0.843991,0.969056,0.983885,0.990014,100.000000,
158,47.536631,8.748050,8.748050,0.988040,0.986623,0.981171,0.983758,0.992553,0.996745,0.833317,0.957693,0.975312,0.983998,100.000000,
159,47.639882,8.890134,8.890134,0.989056,0.985955,0.983501,0.986815,0.992587,0.997145,0.829587,0.963084,0.980378,0.988206,100.000000,
160,45.900889,12.011338,12.011338,0.984551,0.982343,0.972000,0.978890,0.991636,0.996096,0.792210,0.942517,0.967173,0.978971,100.000000,
161,47.454600,12.930285,14.192577,0.990027,0.984714,0.976196,0.987793,0.996175,0.997343,0.820538,0.963741,0.981707,0.989138,100.000000,
162,46.290566,8.700209,12.930285,0.986584,0.987332,0.970800,0.982817,0.992534,0.996806,0.803074,0.951384,0.972975,0.983008,100.000000,
163,47.764751,8.700209,8.700209,0.990267,0.986880,0.975864,0.988049,0.995791,0.997709,0.829553,0.970294,0.985219,0.991464,100.000000,
164,46.856873,5.876747,9.049299,0.986637,0.986464,0.973118,0.982756,0.991978,0.997036,0.816153,0.957720,0.976745,0.986172,99.766873,
165,46.419472,5.876747,5.876747,0.987265,0.985169,0.972668,0.984612,0.993022,0.996906,0.807604,0.953278,0.974020,0.984029,99.586595,
166,46.280232,9.105796,9.105796,0.989738,0.987938,0.974712,0.987677,0.995118,0.996656,0.801424,0.951973,0.973501,0.983650,100.000000,
