Frame,integer_motion2,integer_motion,psnr,ssim,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
120,15.587546,15.587546,42.499729,0.995767,0.978207,0.967300,0.952830,0.972951,0.990312,0.714457,0.917571,0.956258,0.974490,100.000000,
121,16.744097,40.592358,47.693149,0.997855,0.986141,0.983544,0.968291,0.982412,0.993418,0.827715,0.967164,0.983888,0.990519,100.000000,
122,2.469395,16.744097,45.650044,0.996887,0.977757,0.976850,0.952176,0.969404,0.989011,0.783242,0.948127,0.973385,0.984488,93.188400,
123,2.469395,2.469395,45.692208,0.996923,0.977881,0.973597,0.952899,0.967069,0.990460,0.786776,0.948670,0.973789,0.984580,93.242003,
124,2.927304,12.989826,45.959456,0.997334,0.983138,0.975821,0.957499,0.981053,0.992449,0.785438,0.955769,0.977930,0.987214,95.390958,
125,2.927304,2.927304,45.635888,0.997256,0.979596,0.971397,0.959621,0.977840,0.987185,0.782901,0.952934,0.975731,0.985600,94.384422,
126,4.112645,8.680714,45.491783,0.997195,0.981952,0.974661,0.956007,0.978858,0.991649,0.781012,0.950240,0.974835,0.985554,96.350253,
127,4.112645,4.112645,44.807956,0.997066,0.977888,0.972211,0.955281,0.975270,0.986841,0.770860,0.944732,0.971458,0.983472,95.128513,
128,10.274614,10.274614,46.277396,0.997156,0.983314,0.982281,0.968554,0.977306,0.990733,0.796569,0.953969,0.977146,0.987102,100.000000,
129,12.773004,12.773004,47.188742,0.997152,0.982923,0.984168,0.972072,0.971185,0.991025,0.822271,0.958437,0.978954,0.987498,100.000000,
130,11.434011,15.515168,45.696905,0.997194,0.980612,0.973361,0.956111,0.975262,0.991192,0.781820,0.951001,0.974908,0.984936,100.000000,
131,8.367744,11.434011,45.180963,0.997099,0.977993,0.972852,0.953324,0.971151,0.988634,0.772968,0.945041,0.971083,0.982750,100.000000,
132,8.367744,8.367744,46.437691,0.997441,0.984627,0.976876,0.964905,0.980319,0.993383,0.797795,0.958280,0.979534,0.988408,100.000000,
133,7.629513,13.885359,45.603871,0.997174,0.976725,0.971315,0.951911,0.971306,0.987275,0.779802,0.947278,0.973184,0.984745,99.370628,
134,7.629513,7.629513,45.063382,0.997148,0.982592,0.972948,0.960040,0.980280,0.992036,0.771210,0.946610,0.972875,0.984754,100.000000,
135,9.082648,9.082648,46.890204,0.997752,0.985928,0.977914,0.965027,0.982841,0.994961,0.810573,0.964351,0.982905,0.990522,100.000000,
136,10.357444,11.808927,46.461254,0.997538,0.985625,0.979666,0.964844,0.981783,0.994744,0.805745,0.959297,0.979846,0.988597,100.000000,
137,10.357444,10.357444,46.920201,0.997541,0.983638,0.982265,0.961894,0.977478,0.993689,0.814627,0.962208,0.981711,0.989902,100.000000,
138,12.123613,12.688794,46.994726,0.997468,0.985519,0.980193,0.973671,0.979606,0.993421,0.820425,0.960612,0.980551,0.988690,100.000000,
139,9.276099,12.123613,47.458434,0.997467,0.984932,0.980791,0.969703,0.980242,0.992675,0.826554,0.964499,0.982609,0.990023,100.000000,
140,7.944544,9.276099,47.676766,0.997543,0.983402,0.981245,0.968109,0.979883,0.989928,0.836139,0.965068,0.982520,0.989490,100.000000,
141,5.430312,7.944544,46.801058,0.997308,0.983026,0.976692,0.962155,0.979333,0.992028,0.813109,0.958573,0.979228,0.988122,98.688375,
142,5.430312,5.430312,46.084537,0.997108,0.982697,0.979689,0.960262,0.979473,0.991024,0.799698,0.952343,0.975502,0.985783,98.229050,
143,6.494300,6.494300,46.522195,0.997342,0.981325,0.974965,0.960435,0.975432,0.991459,0.808313,0.958872,0.979729,0.988643,99.688103,
144,7.613257,8.203200,46.608280,0.997227,0.984593,0.981273,0.966216,0.982734,0.991426,0.811070,0.957112,0.978159,0.987174,100.000000,
145,7.613257,7.613257,46.573309,0.997181,0.981967,0.975486,0.959886,0.977709,0.991405,0.805844,0.956191,0.978117,0.987569,100.000000,
146,12.801713,12.801713,46.969569,0.997357,0.982640,0.980481,0.967441,0.976839,0.990144,0.809164,0.957353,0.978912,0.988005,100.000000,
147,9.709337,16.007671,46.151191,0.997229,0.981953,0.977307,0.967490,0.973560,0.991205,0.787995,0.951973,0.975885,0.986155,100.000000,
148,9.709337,9.709337,45.324391,0.996928,0.983666,0.972828,0.963369,0.983258,0.991120,0.774429,0.945546,0.971507,0.983192,100.000000,
149,12.594042,12.594042,46.650744,0.997312,0.986595,0.976004,0.970741,0.982639,0.995388,0.794143,0.956817,0.978862,0.988137,100.000000,
150,13.322880,16.617998,47.340431,0.997492,0.987155,0.979046,0.974321,0.985336,0.993786,0.813758,0.961680,0.981076,0.988993,100.000000,
151,10.013959,13.322880,47.368505,0.997470,0.981766,0.978437,0.961163,0.975794,0.991378,0.817400,0.960530,0.980258,0.988717,100.000000,
