Frame,integer_motion2,integer_motion,psnr,ssim,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
90,0.050113,0.050113,38.543613,0.991606,0.972173,0.952262,0.950795,0.973695,0.987432,0.557307,0.914823,0.963237,0.979263,88.219431,
91,5.207675,7.380994,37.826903,0.989229,0.966667,0.947272,0.940195,0.966325,0.985349,0.535082,0.892441,0.947228,0.968759,91.743011,
92,5.207675,5.207675,37.534205,0.988427,0.965387,0.945168,0.937041,0.963893,0.985762,0.522893,0.883347,0.942841,0.966120,91.077513,
93,0.013567,8.712869,38.179772,0.989939,0.968528,0.950138,0.944647,0.967362,0.986609,0.542411,0.900431,0.952648,0.972269,86.405783,
94,0.013567,0.013567,38.189241,0.989973,0.968529,0.950147,0.944635,0.967336,0.986636,0.543180,0.900533,0.952732,0.972376,86.416422,
95,4.453311,8.701581,37.144012,0.987723,0.957996,0.939462,0.934392,0.957520,0.975452,0.505153,0.879387,0.940567,0.965197,88.475793,
96,4.453311,4.453311,37.555688,0.988461,0.963989,0.940206,0.941047,0.962355,0.983262,0.515755,0.893137,0.948644,0.969737,90.450132,
97,0.020800,7.133801,38.507371,0.990322,0.969297,0.950005,0.945764,0.968709,0.986885,0.545985,0.909700,0.957646,0.975410,87.042678,
98,0.020800,0.020800,38.843269,0.991126,0.971597,0.952326,0.949148,0.971856,0.988008,0.557792,0.916524,0.961243,0.977658,87.849189,
99,4.013757,6.679782,38.782915,0.991093,0.973774,0.952265,0.954260,0.975028,0.988820,0.557203,0.920281,0.963394,0.978789,93.381521,
100,4.013757,4.013757,38.857786,0.990870,0.974259,0.956095,0.952873,0.975315,0.989473,0.559835,0.915454,0.960370,0.976789,93.184756,
101,0.005807,6.001865,39.006764,0.991886,0.974231,0.950425,0.954534,0.974802,0.990612,0.569228,0.924942,0.965259,0.979514,88.704962,
102,0.005807,0.005807,39.260927,0.992464,0.975783,0.951924,0.957528,0.976804,0.991132,0.578008,0.929056,0.967304,0.980796,89.218270,
103,3.101367,6.027453,39.298727,0.992173,0.977192,0.955725,0.958842,0.979334,0.990747,0.580047,0.923741,0.964552,0.979636,93.124651,
104,3.101367,3.101367,39.581200,0.992747,0.977362,0.956838,0.958879,0.978556,0.991228,0.587441,0.927958,0.966742,0.980930,93.361614,
105,0.036281,6.449538,39.986962,0.993604,0.979135,0.958380,0.961905,0.981316,0.991949,0.602739,0.940228,0.973685,0.984894,90.559453,
106,0.036281,0.036281,40.274183,0.993979,0.981038,0.960871,0.965541,0.982817,0.993148,0.610811,0.944576,0.975831,0.986180,91.162820,
107,3.647507,6.040311,40.243676,0.993482,0.979606,0.959977,0.964206,0.981936,0.990934,0.614068,0.939000,0.972321,0.984135,95.017920,
108,3.647507,3.647507,39.476873,0.992269,0.976417,0.956702,0.957379,0.978462,0.989635,0.587835,0.924154,0.964538,0.979731,93.619149,
109,0.012229,4.745936,39.957872,0.993322,0.976801,0.957429,0.958975,0.978336,0.989853,0.600365,0.934177,0.970088,0.982599,89.677148,
110,0.012229,0.012229,39.961736,0.993328,0.976850,0.957443,0.959136,0.978329,0.989898,0.600763,0.934069,0.970057,0.982550,89.681239,
111,3.036899,4.890013,38.892487,0.991441,0.971185,0.952068,0.948806,0.972697,0.986638,0.567567,0.913873,0.958012,0.975265,91.118418,
112,3.036899,3.036899,38.907603,0.991004,0.970734,0.947976,0.948473,0.973450,0.986022,0.562056,0.918862,0.962647,0.977823,91.439471,
113,0.017336,4.676512,39.301073,0.991465,0.973762,0.955088,0.950976,0.975090,0.989389,0.571141,0.921032,0.964199,0.979346,88.548082,
114,0.017336,0.017336,39.305523,0.991489,0.973741,0.955083,0.950975,0.974990,0.989415,0.571476,0.920930,0.964117,0.979220,88.529095,
