Frame,integer_motion2,integer_motion,psnr,ssim,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
148,0.000000,0.000000,24.367599,0.871239,0.767275,0.954103,0.830115,0.691620,0.743417,0.492178,0.555152,0.568855,0.577276,15.662696,
149,5.447399,5.447399,22.551188,0.848489,0.541484,0.926162,0.698689,0.504558,0.433178,0.444828,0.498464,0.506518,0.510400,0.000000,
150,0.000000,11.093624,46.061555,0.996938,0.983283,0.979079,0.965829,0.979581,0.991076,0.789893,0.955091,0.977559,0.987116,91.570250,
151,0.000000,0.000000,22.473826,0.847153,0.574228,0.924085,0.700035,0.538731,0.472788,0.480416,0.537038,0.542071,0.536178,0.000000,
152,7.617356,7.617356,19.405189,0.755068,0.639703,0.945617,0.788755,0.622525,0.533311,0.423036,0.468653,0.466984,0.451029,1.098508,
153,12.804419,12.804419,18.076045,0.702612,0.651105,0.955030,0.816184,0.640428,0.534964,0.385129,0.431469,0.425826,0.403423,7.561010,
154,0.000000,20.103699,44.833005,0.996599,0.983829,0.972328,0.962741,0.984949,0.990811,0.747395,0.941754,0.970173,0.982813,91.012100,
155,0.000000,0.000000,19.477554,0.737908,0.556228,0.922441,0.717821,0.469168,0.486585,0.337992,0.387651,0.389468,0.381647,0.000000,
156,12.609591,12.609591,17.688790,0.692607,0.576468,0.935924,0.762122,0.553489,0.449598,0.342754,0.375854,0.365201,0.340619,0.000000,
157,0.000000,22.870890,47.182713,0.997559,0.983566,0.978232,0.960497,0.979868,0.993248,0.801691,0.965277,0.983366,0.990524,92.190396,
158,0.000000,0.000000,20.603030,0.776552,0.564891,0.941879,0.740545,0.456090,0.470993,0.408130,0.447261,0.442173,0.425223,0.000000,
159,10.023871,10.023871,22.315563,0.824312,0.647126,0.948773,0.799822,0.582108,0.559788,0.439730,0.486047,0.486291,0.477007,4.448936,
160,2.901611,10.331197,47.591444,0.997839,0.987942,0.981372,0.978941,0.985267,0.994022,0.821906,0.971948,0.986857,0.992876,97.327491,
161,0.000000,2.901611,47.447855,0.997523,0.990235,0.983758,0.979846,0.987917,0.996473,0.820196,0.967767,0.984341,0.990954,93.714585,
162,0.000000,0.000000,22.601892,0.829742,0.582821,0.936039,0.706853,0.468268,0.516749,0.463938,0.508603,0.510450,0.503270,0.000000,
163,7.271936,7.271936,21.646266,0.804624,0.617221,0.940428,0.764769,0.567626,0.510839,0.445093,0.492381,0.490817,0.476645,0.000000,
164,0.000000,14.211373,45.811625,0.996552,0.978033,0.973966,0.965350,0.972844,0.985745,0.775469,0.947143,0.971456,0.982649,89.796787,
165,0.000000,0.000000,21.578932,0.799129,0.673319,0.940547,0.774048,0.593334,0.617133,0.424436,0.473642,0.473817,0.460855,0.000000,
166,8.754574,8.754574,21.435436,0.795759,0.645381,0.939693,0.759720,0.634562,0.546166,0.424261,0.471669,0.472850,0.461082,3.077788,
167,14.197528,16.943111,46.253447,0.997198,0.986106,0.979485,0.966752,0.980520,0.996237,0.778855,0.956216,0.978432,0.987252,100.000000,
168,0.000000,14.197528,45.509817,0.997083,0.982622,0.973494,0.968724,0.976515,0.991702,0.760115,0.950717,0.975909,0.986223,91.290749,
169,0.000000,0.000000,19.315003,0.723393,0.664946,0.955001,0.759902,0.633181,0.583472,0.367817,0.418249,0.417347,0.405173,0.000000,
170,12.942602,12.942602,21.216525,0.779009,0.589915,0.940214,0.709121,0.535098,0.506421,0.373507,0.429807,0.437931,0.441896,0.627996,
171,0.000000,13.939148,46.317949,0.997578,0.984639,0.981107,0.968374,0.981085,0.991262,0.787275,0.959461,0.980170,0.988985,92.145379,
172,0.000000,0.000000,23.459559,0.858233,0.633449,0.945457,0.723693,0.561488,0.577085,0.419702,0.501130,0.525597,0.555742,0.000000,
173,5.903700,5.903700,20.907044,0.782844,0.638513,0.942080,0.723691,0.633119,0.552864,0.384448,0.444826,0.453771,0.452800,0.509577,
174,0.000000,15.702998,46.023259,0.997763,0.985485,0.973302,0.973482,0.982796,0.992575,0.776353,0.963097,0.982714,0.990707,92.599658,
175,0.000000,0.000000,22.818965,0.848263,0.736482,0.949263,0.855528,0.755316,0.650320,0.439723,0.524568,0.544083,0.561497,10.871271,
176,6.561697,6.561697,21.619929,0.803098,0.572787,0.908475,0.641553,0.472584,0.541156,0.388455,0.453187,0.466850,0.478511,0.000000,
177,7.823874,7.823874,20.877285,0.775478,0.629603,0.944829,0.760236,0.577564,0.555558,0.384142,0.438662,0.445860,0.446376,1.017529,
178,0.000000,13.549191,46.424422,0.997830,0.986833,0.977857,0.965523,0.985529,0.994639,0.789626,0.965767,0.984034,0.991375,93.004969,
179,0.000000,0.000000,22.504164,0.832223,0.655538,0.932997,0.769401,0.584983,0.603238,0.400751,0.468667,0.485363,0.502665,0.000000,
180,7.166350,7.166350,20.959638,0.782903,0.629995,0.940843,0.772954,0.642675,0.526029,0.378562,0.431265,0.437019,0.435737,0.546888,
181,0.000000,12.945675,46.292761,0.997550,0.989604,0.977640,0.969385,0.990173,0.997190,0.789456,0.962543,0.982154,0.990156,93.412647,
182,0.000000,0.000000,20.784632,0.778327,0.639173,0.938117,0.749775,0.547986,0.594281,0.382147,0.430621,0.432778,0.424354,0.000000,
183,9.590545,9.702372,21.190068,0.792672,0.710071,0.943641,0.837898,0.729844,0.615502,0.400292,0.449086,0.450036,0.440956,13.329224,
184,9.590545,9.590545,46.396921,0.997644,0.986582,0.977809,0.967707,0.986244,0.993868,0.787788,0.962141,0.981562,0.989637,100.000000,
